title,price_gbp,rating,availability,in_stock,category,price_inr
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,In stock,True,Nonfiction,4413.065
Soul Reader,39.58,2,In stock,True,Default,4175.69
Security,39.25,2,In stock,True,Horror,4140.875
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,In stock,True,Fantasy,2639.61
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,In stock,True,Sequential Art,5384.72
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,In stock,True,Nonfiction,2092.0649999999996
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,In stock,True,Sequential Art,5317.2
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,In stock,True,Sequential Art,1435.855
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,In stock,True,Fantasy,1407.37
"Pop Gun War, Volume 1: Gift",18.97,1,In stock,True,Sequential Art,2001.3349999999998
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,In stock,True,History,3827.54
Patience,10.16,3,In stock,True,Sequential Art,1071.88
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,In stock,True,Sequential Art,1628.9199999999998
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,In stock,True,Sequential Art,5107.254999999999
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,In stock,True,Self Help,4889.925
On a Midnight Clear,14.07,3,In stock,True,Add a comment,1484.385
Obsidian (Lux #1),14.86,2,In stock,True,Young Adult,1567.73
My Paris Kitchen: Recipes and Stories,33.37,2,In stock,True,Food and Drink,3520.535
Masks and Shadows,56.4,2,In stock,True,Fantasy,5950.2
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,In stock,True,Food and Drink,1479.11
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,In stock,True,Sequential Art,4949.004999999999
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,In stock,True,Sequential Art,4811.855
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,In stock,True,Sequential Art,2101.5600000000004
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,In stock,True,Food and Drink,4231.605
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,In stock,True,Add a comment,5686.45
Join,35.67,5,In stock,True,Science Fiction,3763.1850000000004
In the Country We Love: My Family Divided,22.0,4,In stock,True,Nonfiction,2321.0
